,Ticker,Open,High,Low,Close,Adj Close,Volume,52 Week Min,52 Week Max,RS Rating,RS Rank,Change,Change (%)
2022-04-11,UAN,146.6999969482422,148.32000732421875,142.63999938964844,145.08999633789062,145.08999633789062,82000,41.124977111816406,150.3000030517578,90.21149,1.0,-0.05999755859375,-0.0004133486814786782
2022-04-11,KZR,16.440000534057617,16.440000534057617,15.09000015258789,15.729999542236328,15.729999542236328,603900,4.849999904632568,18.32999992370605,76.3867,0.9939,-0.6300010681152344,-0.03850862130876755
2022-04-11,RRC,32.38999938964844,32.459999084472656,31.459999084472656,31.93000030517578,31.93000030517578,3697500,8.760000228881836,32.599998474121094,75.20218,0.9878,-0.6699981689453125,-0.020552092033905404
2022-04-11,APTS,24.920000076293945,24.940000534057617,24.90999984741211,24.90999984741211,24.90999984741211,2029100.0,9.074639320373535,25.799999237060547,74.95274,0.98171,-0.010000228881835938,-0.00040129329258505974
2022-04-11,CF,108.0,108.16000366210938,104.0199966430664,107.0500030517578,107.0500030517578,2656700.0,43.34000015258789,109.5199966430664,72.74101,0.97561,-1.159996032714858,-0.010719859925415237
2022-04-11,TRQ,30.270000457763672,30.270000457763672,29.229999542236328,29.780000686645508,29.780000686645508,480300,10.039999961853027,30.64999961853028,72.39273,0.96951,-0.17999839782714844,-0.006007957387436505
2022-04-11,PTEN,16.200000762939453,16.43000030517578,15.859999656677246,16.1299991607666,16.1299991607666,4570200,6.226008892059326,16.260000228881836,66.69909,0.96341,-0.13000106811523438,-0.007995145528000663
2022-04-11,FLNG,28.600000381469727,29.84000015258789,27.84000015258789,29.200000762939453,29.200000762939453,607900.0,8.668830871582031,29.39999961853028,62.81796,0.95732,0.2800006866455078,0.009681904768562831
2022-04-11,ARLP,15.640000343322754,16.100000381469727,15.350000381469728,15.970000267028809,15.970000267028809,581400,5.38743257522583,15.970000267028809,60.66263,0.95122,0.24000072479248047,0.015257516324018892
2022-04-11,DVN,61.54999923706055,61.59999847412109,59.84999847412109,60.02999877929688,60.02999877929688,9011300.0,20.80589294433593,62.5,60.02086,0.94512,-2.3400001525878835,-0.03751804060704624
2022-04-11,MRO,25.520000457763672,25.540000915527344,24.899999618530277,25.21999931335449,25.21999931335449,18394200.0,10.076987266540527,26.040000915527344,60.00541,0.93902,-0.6800003051757884,-0.026254838424371207
2022-04-11,APA,42.36000061035156,42.43999862670898,40.72999954223633,41.06999969482422,41.06999969482422,9983100,16.0,43.02000045776367,59.10511,0.93293,-1.9500007629394531,-0.045327771784984795
2022-04-11,CENX,26.299999237060547,26.299999237060547,24.450000762939453,24.780000686645508,24.780000686645508,1912700,10.579999923706056,29.489999771118164,55.67199,0.92683,-1.8799991607666016,-0.07051759833183545
2022-04-11,GOGO,19.850000381469727,21.450000762939453,19.559999465942383,20.90999984741211,20.90999984741211,1800900,9.81999969482422,20.90999984741211,55.59862,0.92073,0.9400005340576207,0.04707063427032852
2022-04-11,TDW,21.770000457763672,21.899999618530277,20.459999084472656,20.559999465942383,20.559999465942383,220600,10.289999961853027,22.809999465942383,53.85612,0.91463,-1.3400001525878942,-0.061187222645158315
2022-04-11,NTR,106.11000061035156,107.87000274658205,103.5500030517578,107.76000213623048,107.76000213623048,2734800.0,52.42115783691406,108.43000030517578,53.42803,0.90854,1.7400054931640767,0.016412050068461036
2022-04-11,MUR,41.650001525878906,41.650001525878906,40.310001373291016,40.68999862670898,40.68999862670898,1293000,15.471506118774414,43.150001525878906,53.2604,0.90244,-1.5600013732910227,-0.036923109427006454
2022-04-11,HAL,39.58000183105469,39.59999847412109,38.84999847412109,39.060001373291016,39.060001373291016,14079700.0,18.14999961853028,39.93999862670898,53.20837,0.89634,-0.8799972534179616,-0.022032981564237792
2022-04-11,HCC,37.70000076293945,37.790000915527344,36.0,36.220001220703125,36.220001220703125,688700,15.74855613708496,42.75,52.16876,0.89024,-1.3999977111816406,-0.037214187956690105
2022-04-11,NBR,159.27000427246094,162.4199981689453,156.72000122070312,158.97000122070312,158.97000122070312,137000,67.26000213623047,165.1999969482422,51.49315,0.88415,-3.9199981689453125,-0.02406530900382842
2022-04-11,CNQ,63.619998931884766,63.869998931884766,62.15999984741211,62.45000076293945,62.45000076293945,2837900.0,29.075794219970703,64.2699966430664,48.8207,0.87805,-1.8199958801269531,-0.028317970673541314
2022-04-11,HBP,10.670000076293944,10.6899995803833,10.65999984741211,10.68000030517578,10.68000030517578,443800,3.700000047683716,11.06999969482422,48.61901,0.87195,0.010000228881835938,0.0009372285670413377
2022-04-11,ERF,13.100000381469728,13.130000114440918,12.59000015258789,12.68000030517578,12.68000030517578,2156600.0,4.9099998474121085,13.920000076293944,48.36531,0.86585,-0.649999618530277,-0.04876216220934244
2022-04-11,TRGP,77.0,77.04000091552734,75.26000213623047,75.76000213623047,75.76000213623047,1280700,31.11664390563965,77.33999633789062,47.72506,0.85976,-1.5099945068359375,-0.019541795941975526
2022-04-11,CVE,17.25,17.260000228881836,16.450000762939453,16.469999313354492,16.469999313354492,11596800.0,7.297207355499268,17.559999465942383,46.67646,0.85366,-1.0900001525878906,-0.06207290351585407
2022-04-11,SM,39.58000183105469,39.61000061035156,38.209999084472656,39.0099983215332,39.0099983215332,2366900,15.260000228881836,42.47999954223633,46.55353,0.84756,-1.4099998474121094,-0.03488371873543063
2022-04-11,HP,44.84000015258789,45.22999954223633,44.150001525878906,44.68999862670898,44.68999862670898,1672200.0,21.280000686645508,45.290000915527344,46.27224,0.84146,-0.6000022888183665,-0.01324800787567792
